navn,stavelser,frekvens,klasse,type
Østerli,øs|ter|li,44,Gårdsnavn,etternavn
Østerlid,øs|ter|lid,12,Gårdsnavn,etternavn
Østerlie,øs|ter|lie,92,Gårdsnavn,etternavn
Østern,øs|tern,147,Gårdsnavn,etternavn
Østerud,øs|te|rud,248,Gårdsnavn,etternavn
Østervold,øs|ter|vold,191,Gårdsnavn,etternavn
Østerås,øs|ter|ås,303,Gårdsnavn,etternavn
Østeraas,øs|ter|aas,86,Gårdsnavn,etternavn
Østevik,øs|te|vik,141,Gårdsnavn,etternavn
Østevold,øs|te|vold,63,Gårdsnavn,etternavn
Østgulen,øst|gul|en,43,Gårdsnavn,etternavn
Østgård,øst|gård,592,Gårdsnavn,etternavn
Østgaard,øst|gaard,286,Gårdsnavn,etternavn
Østgårdsgjelten,øst|gårds|gjelt|en,19,Gårdsnavn,etternavn
Østhagen,øst|ha|gen,185,Gårdsnavn,etternavn
Østhassel,øst|hass|el,42,Gårdsnavn,etternavn
Østhaug,øst|haug,54,Gårdsnavn,etternavn
Østheim,øst|heim,81,Gårdsnavn,etternavn
Østhus,øst|hus,441,Gårdsnavn,etternavn
Østigård,øst|i|gård,100,Gårdsnavn,etternavn
Østigaard,øst|i|gaard,21,Gårdsnavn,etternavn
Østingsen,Øst|ing|sen,26,Patronym,etternavn
Østland,øst|land,49,Gårdsnavn,etternavn
Østli,øst|li,662,Gårdsnavn,etternavn
Østlid,øst|lid,68,Gårdsnavn,etternavn
Østlie,øst|lie,385,Gårdsnavn,etternavn
Østlien,øst|li|en,40,Gårdsnavn,etternavn
Østling,øst|ling,32,Annet,etternavn
Østlund,øst|lund,222,Annet,etternavn
Østlyng,Øst|lyng,37,Gårdsnavn,etternavn
Østlyngen,Øst|lyng|en,91,Gårdsnavn,etternavn
Østman,øst|man,39,Annet,etternavn
Østmann,øst|mann,24,Annet,etternavn
Østmark,øst|mark,74,Gårdsnavn,etternavn
Østmo,øst|mo,336,Gårdsnavn,etternavn
Østmoe,øst|moe,161,Gårdsnavn,etternavn
Østmoen,øst|mo|en,124,Gårdsnavn,etternavn
Østnes,Øst|nes,111,Gårdsnavn,etternavn
Østnor,øst|nor,78,Gårdsnavn,etternavn
Østre,øst|e,42,Gårdsnavn,etternavn
Østreim,øst|reim,59,Gårdsnavn,etternavn
Østrem,øst|rem,943,Gårdsnavn,etternavn
Østreng,øst|reng,233,Gårdsnavn,etternavn
Østring,øst|ring,37,Annet,etternavn
Østro,øst|ro,46,Gårdsnavn,etternavn
Østrådt,øst|rådt,12,Gårdsnavn,etternavn
Østråt,øst|råt,23,Gårdsnavn,etternavn
Østraat,øst|raat,114,Gårdsnavn,etternavn
Østrått,øst|rått,36,Gårdsnavn,etternavn
Østtveit,øst|tveit,49,Gårdsnavn,etternavn
Østvand,øst|vand,32,Gårdsnavn,etternavn
Østvang,øst|vang,203,Gårdsnavn,etternavn
Østvann,øst|vann,13,Gårdsnavn,etternavn
Østvedt,øst|vedt,40,Gårdsnavn,etternavn
Østvig,øst|vig,13,Gårdsnavn,etternavn
Østvik,øst|vik,356,Gårdsnavn,etternavn
Østvold,øst|vold,503,Gårdsnavn,etternavn
Østvoll,øst|voll,32,Gårdsnavn,etternavn
Østvåg,øst|våg,26,Gårdsnavn,etternavn
Øvensen,Øv|en|sen,53,Patronym,etternavn
Øverbekk,Øv|er|bekk,26,Gårdsnavn,etternavn
Øverberg,Øv|er|berg,38,Gårdsnavn,etternavn
Øverby,,991,Gårdsnavn,etternavn
Øverbye,,108,Gårdsnavn,etternavn
Øverbø,,293,Gårdsnavn,etternavn
Øverdahl,,14,Gårdsnavn,etternavn
Øverdal,,114,Gårdsnavn,etternavn
Øveren,,29,Gårdsnavn,etternavn
Øvereng,,266,Gårdsnavn,etternavn
Øverengen,,24,Gårdsnavn,etternavn
Øvergård,,580,Gårdsnavn,etternavn
Øvergaard,,298,Gårdsnavn,etternavn
Øverhaug,,30,Gårdsnavn,etternavn
Øverhaugen,,16,Gårdsnavn,etternavn
Øverjord,,16,Gårdsnavn,etternavn
Øverjordet,,88,Gårdsnavn,etternavn
Øverkil,,74,Gårdsnavn,etternavn
Øverland,,1543,Gårdsnavn,etternavn
Øverleir,,37,Gårdsnavn,etternavn
Øverli,,593,Gårdsnavn,etternavn
Øverlia,,13,Gårdsnavn,etternavn
Øverlid,,12,Gårdsnavn,etternavn
Øverlie,,88,Gårdsnavn,etternavn
Øverlien,,73,Gårdsnavn,etternavn
Øverlier,,75,Gårdsnavn,etternavn
Øvermo,,74,Gårdsnavn,etternavn
Øvern,,25,Gårdsnavn,etternavn
Øvernes,,77,Gårdsnavn,etternavn
Øverseth,,36,Gårdsnavn,etternavn
Øversjøen,,61,Gårdsnavn,etternavn
Øversveen,,191,Gårdsnavn,etternavn
Øvervold,,25,Gårdsnavn,etternavn
Øvervoll,,68,Gårdsnavn,etternavn
Øverås,,603,Gårdsnavn,etternavn
Øveraas,,131,Gårdsnavn,etternavn
Øveråsen,,40,Gårdsnavn,etternavn
Øveraasen,,55,Gårdsnavn,etternavn
Øvestad,,111,Gårdsnavn,etternavn
Øvland,,194,Gårdsnavn,etternavn
Øvre,,158,Gårdsnavn,etternavn
Øvreberg,,67,Gårdsnavn,etternavn
Øvrebotn,,12,Gårdsnavn,etternavn
Øvrebotten,,126,Gårdsnavn,etternavn
Øvrebust,,63,Gårdsnavn,etternavn
Øvrebø,,1149,Gårdsnavn,etternavn
